"","groups","Y","C","x1","x2"
"1",1,1,1.43363523390144,1,0
"2",1,1,0.618504622485489,0,0
"3",2,0,0.35230987938121,0,0
"4",2,0,0.297134483698756,1,0
"5",2,0,0.362655817531049,1,0
"6",3,0,0.664633071050048,0,0
"7",3,0,0.429604181088507,1,0
"8",4,0,0.510334091261029,0,1
"9",4,0,0.505831582471728,0,1
"10",4,0,1.12741217389703,1,0
"11",4,0,1.22757993964478,0,1
"12",5,0,0.142828687559813,0,0
"13",5,0,0.109807681757957,0,1
"14",5,0,0.0920395161956549,0,0
"15",6,0,1.45440488308668,0,1
"16",7,0,0.882873721886426,0,0
"17",7,0,1.2242460232228,0,0
"18",8,1,1.1651902385056,0,0
"19",8,1,0.234386756084859,1,0
"20",9,1,1.44958534091711,0,1
"21",9,1,0.37750627566129,0,1
"22",9,1,1.4444762095809,1,0
"23",9,1,1.63503210898489,0,1
"24",10,0,0.626732234843075,0,0
"25",10,0,1.67324050376192,0,1
"26",10,0,1.93368522590026,0,0
"27",11,1,1.68643400352448,0,1
"28",11,1,1.85624693753198,0,1
"29",11,1,1.40563129633665,1,0
"30",11,1,1.18099131714553,0,0
"31",12,0,1.24455935973674,0,0
"32",12,0,0.601666655391455,0,0
"33",13,1,1.20809431420639,0,1
"34",13,1,1.47983686625957,0,1
"35",14,0,1.98569864127785,1,0
"36",14,0,0.31806781468913,0,0
"37",14,0,1.56508035352454,1,0
"38",14,0,1.7537155142054,1,0
"39",15,0,1.70538895437494,1,0
"40",15,0,0.362036762759089,1,0
"41",15,0,0.0990002672187984,0,0
"42",16,1,1.68108638748527,0,1
"43",16,1,1.35426021832973,0,0
"44",17,0,0.749459200073034,0,0
"45",17,0,1.23380084475502,0,0
"46",18,0,0.448143001180142,0,1
"47",18,0,0.290608384646475,0,1
"48",18,0,0.968887481372803,0,1
"49",19,1,1.2834792919457,1,0
"50",19,1,0.855343798175454,0,0
"51",19,1,0.717840351630002,0,0
"52",20,1,1.88273862516508,0,1
"53",20,1,0.551295508630574,1,0
"54",20,1,0.807095007039607,0,1
"55",21,0,0.998040540143847,0,1
"56",21,0,1.22307871188968,0,1
"57",21,0,1.42241880157962,0,1
"58",22,1,0.993297308217734,1,0
"59",22,1,0.431153004989028,1,0
"60",22,1,1.73711905395612,0,0
"61",22,1,0.216547201853245,0,0
"62",23,0,1.93677679495886,1,0
"63",23,0,0.290972093120217,0,1
"64",24,0,1.34198944782838,1,0
"65",25,1,0.83767476119101,1,0
"66",25,1,1.10427576024085,0,0
"67",25,1,0.501367796212435,0,0
"68",25,1,1.10507280705497,0,1
"69",26,1,1.997465969529,0,0
"70",26,1,0.112307450268418,0,1
"71",26,1,1.58740098681301,0,1
"72",27,0,1.56762200780213,0,1
"73",27,0,1.24101144494489,1,0
"74",27,0,0.146400260273367,0,1
"75",28,1,1.62433267757297,1,0
"76",28,1,0.58064797706902,0,1
"77",28,1,1.89697363879532,0,1
"78",28,1,0.30606726417318,0,1
"79",29,0,1.69161086948588,0,0
"80",29,0,1.08572531305254,0,1
"81",30,0,0.0584826292470098,0,1
"82",31,0,1.16383706498891,0,0
"83",31,0,0.993312146514654,1,0
"84",32,1,1.01320425793529,0,1
"85",32,1,0.606768043711782,0,1
"86",32,1,0.596254815813154,0,1
"87",33,0,0.304807319305837,0,0
